ID,ParentID,Radial distance,Angle,Cluster size,Species,Cue,Observer,CSLow,CSHigh,OnWater,Aspect,Sightability,KWTransRes
1,1,1646.994236,1,1,KW,1,RW,1,1,w,4,1,R
2,1,1280.995517,3,1,KW,1,RW,1,1,w,1,1,R
3,1,164.6994236,16,2,KW,1,RW,2,2,w,2,2,R
4,1,731.997438,20,2,KW,1,RW,2,2,w,3,1,R
5,1,914.9967975,27,1,DP,1,RW,1,1,w,2,2,
6,1,484.7950639,54,3,DP,1,SH,3,3,w,1,2,
7,2,686.2475981,3,1,M,1,RW,1,1,w,1,1,
8,2,60,4,1,HS,1,CM,1,1,w,3,1,
9,2,700,4,12,DP,1,SH,10,15,w,2,4,
10,2,155.5494556,5,1,G,6,RW,,,w,,4,
11,2,250,6,5,DP,1,SH,4,7,w,2,1,
12,2,326,34,1,SSL,1,NE,1,1,w,3,1,
13,2,500,47,2,DP,1,NE,1,2,w,1,1,
14,2,425,70,2,DP,1,RW,2,3,w,1,1,
15,3,1000,5,1,M,1,NE,1,1,w,2,1,
16,3,32.02488791,18,1,G,6,RW,,,w,,3,
17,3,800,20,1,H,1,SH,1,1,w,1,1,
18,3,1762.891141,26,4,F,3,SH,,,w,2,2,
19,3,201.2992955,34,1,GW,3,RW,1,1,w,3,3,
20,3,3085.059498,38,4,GW,3,SH,3,6,w,2,3,
21,3,76,40,1,DP,1,OA,1,1,w,4,3,
22,3,2754.517409,43,2,F,3,SH,,,w,2,1,
23,3,27.44990393,44,1,G,6,RW,,,w,,1,
24,3,1500,45,2,DP,1,CM,1,2,w,1,3,
25,3,329.5978906,49,1,G,6,OA,,,w,,3,
26,3,1098.659635,60,1,H,1,OA,,,w,2,2,
27,3,110.1806963,60,1,GW,1,SH,,1,w,3,2,
28,3,1098.659635,65,6,DP,1,OA,2,8,w,2,3,
29,3,1800,72,1,H,1,RW,1,1,w,2,1,
30,3,25.61991033,74,1,G,6,RW,,,w,,3,
31,3,2197.31927,80,2,DP,1,OA,2,2,w,1,3,
32,3,175,81,5,DP,3,CM,,,w,2,1,
33,3,1646.994236,86,1,F,3,RW,,,w,5,1,
34,4,952.3809524,5,6,HS,1,NE,4,9,l,5,3,
35,4,200,18,2,DP,1,CM,1,4,w,1,2,
36,4,329.5978906,20,1,G,6,OA,,,w,,1,
37,4,600,22,1,DP,1,CM,1,2,w,2,2,
38,4,350,24,1,DP,1,cm,1,1,w,1,2,
39,4,1500,26,1,F,3,CM,1,1,w,2,2,
40,4,749.2287351,27,1,HS,1,SH,1,1,l,5,3,
41,4,771.2648744,28,1,HS,1,SH,1,1,w,3,1,
42,4,251.6241193,29,1,DP,1,RW,1,1,w,1,2,
43,4,1642.036125,30,1,DP,1,NE,1,1,w,1,1,
44,4,821.0180624,33,1,DP,1,ne,1,1,w,1,2,
45,4,550,39,1,DP,1,CM,1,2,w,2,2,
46,4,1642.036125,55,2,HS,1,NE,1,2,w,3,3,
47,4,140,60,4,HS,1,OA,4,4,w,3,1,
48,4,2463.054187,62,25,KW,3,NE,25,35,w,,1,R
49,4,1647.989453,65,15,KW,3,OA,6,30,w,1,1,R
50,4,648.6042693,68,4,HS,1,NE,3,4,l,5,3,
51,4,203,70,2,HS,1,RW,2,2,w,3,1,
52,4,400,70,1,HS,1,NO,1,1,w,3,2,
53,4,24.2397532,90,1,G,6,SH,,,w,,3,
54,4,662.4917601,90,1,HS,1,OA,1,1,w,3,1,
55,4,129,90,1,M,2,SH,1,1,w,3,2,
56,4,190,90,1,G,6,RW,,,w,,2,
57,4,224,90,1,G,6,RW,,,w,,2,
58,4,2463.054187,120,1,KW,1,NE,1,1,w,1,1,R
59,4,950,130,4,DP,1,CM,3,5,w,4,2,
60,4,328.407225,160,1,G,6,ne,,,w,,2,
61,5,1231.527094,23,1,DP,1,NE,1,1,w,1,1,
62,5,869.2469576,24,1,HS,1,RW,1,1,w,3,1,
63,5,439.4638541,49,1,DP,1,OA,1,2,w,1,1,
64,5,418.6866461,54,1,HS,1,SH,1,1,w,3,1,
65,5,574.7126437,67,2,U,1,NE,2,2,w,2,1,
66,6,100,1,1,SSL,1,CM,1,1,w,3,1,
67,6,686.2475981,5,1,DP,1,RW,1,1,w,1,2,
68,6,450,8,3,DP,1,RW,3,,w,1,1,
69,6,226.9192058,12,3,HP,3,RW,3,4,w,3,1,
70,6,1647.989453,15,2,H,1,OA,2,3,w,2,1,
71,6,165.2710445,18,1,HP,1,SH,1,1,w,2,1,
72,6,1098.659635,20,1,H,1,OA,1,1,w,4,1,
73,6,800,24,2,DP,1,CM,1,2,w,1,1,
74,6,700,25,2,DP,1,E,2,2,w,1,1,
75,6,617.0118995,32,3,HP,1,SH,3,4,w,1,1,
76,6,343.1237991,42,1,U,3,RW,1,1,w,5,1,
77,6,54.18719212,44,1,G,6,NE,,,w,,2,
78,6,500,50,2,DP,1,CM,2,3,w,2,1,
79,6,600,53,1,DP,1,CM,1,1,w,1,2,
80,6,100.6496477,57,1,G,6,RW,1,1,w,,1,
81,6,462.7589246,58,1,HS,1,SH,1,1,w,3,1,
82,6,1652.710445,60,1,HP,1,SH,1,1,w,2,1,
83,6,99.16262671,64,3,HP,1,SH,3,3,w,2,1,
84,6,160.1244396,67,1,DP,1,RW,1,1,w,1,2,
85,6,375,68,3,DP,2,RW,,4,w,1,1,
86,6,34.76987831,68,1,G,6,RW,,,w,,1,
87,6,200,69,2,HP,1,CM,2,2,w,2,1,
88,6,260,69,1,HP,1,SH,1,1,w,2,1,
89,6,172,75,1,U,1,SH,1,1,w,,1,
90,6,400,76,3,DP,5,CM,3,5,w,1,1,
91,6,1000,80,4,DP,2,OA,4,6,w,2,1,
92,6,300,80,2,DP,1,OA,2,2,w,2,1,
93,6,305,88,1,HS,1,RW,1,1,w,3,1,
94,6,385.6324372,90,5,DP,1,SH,4,5,w,2,1,
95,6,200,90,2,HS,1,CM,2,2,w,3,1,
96,6,300,97,1,DP,1,CM,1,2,w,1,1,
97,6,300,99,2,DP,1,CM,2,2,w,1,1,
98,7,160.1244396,6,1,HS,1,RW,1,1,w,2,2,
99,7,659.1957811,20,2,DP,1,OA,2,4,w,1,3,
100,7,495.8131335,25,2,DP,1,SH,2,4,w,2,1,
101,7,173.8493915,26,1,DP,1,RW,1,1,w,4,2,
102,7,500,29,2,DP,1,CM,2,3,w,3,2,
103,7,600,33,1,DP,1,CM,1,1,w,1,1,
104,7,231.3794623,37,1,DP,1,SH,1,1,w,1,1,
105,7,329.5978906,42,1,DP,1,OA,1,1,w,1,3,
106,7,205.8742794,65,1,M,1,RW,1,1,w,2,1,
107,7,164.6994236,82,1,G,6,RW,,,w,,1,
108,7,320.2488791,90,1,DP,1,RW,1,1,w,2,1,
